timestamp,open,high,low,close,volume
2022-02-01,6.0700,6.3500,5.8400,6.0200,480703
2022-01-31,5.6000,6.1000,5.6000,6.0400,610658
2022-01-28,5.2000,5.8533,5.1100,5.7200,859527
2022-01-27,5.7100,5.8789,5.1800,5.1900,578734
2022-01-26,6.0000,6.3800,5.5500,5.6300,781640
2022-01-25,5.9600,6.0100,5.5100,5.8000,983237
2022-01-24,5.5000,6.2000,5.3100,6.1700,1046168
2022-01-21,5.8000,6.1300,5.6300,5.6400,1193725
2022-01-20,6.1300,6.3500,5.8200,5.8200,916580
2022-01-19,6.0100,6.5500,5.9400,6.1300,871661
2022-01-18,6.4100,6.5400,5.9100,5.9200,1037108
2022-01-14,6.0000,6.6600,6.0000,6.6100,1044654
2022-01-13,6.2100,6.4300,6.0800,6.1000,518070
2022-01-12,6.5800,6.5900,6.1450,6.1600,548385
2022-01-11,6.5100,6.6900,6.2100,6.4700,283390
2022-01-10,6.4300,6.5700,6.1000,6.3600,632672
2022-01-07,6.7900,6.8300,6.1300,6.1900,582084
2022-01-06,6.6500,6.9000,6.2158,6.8300,673323
2022-01-05,7.3200,7.4614,6.5500,6.5600,757787
2022-01-04,7.6900,7.7289,7.3000,7.3500,401748
2022-01-03,7.2100,7.7333,7.1000,7.7000,532760
2021-12-31,7.5000,7.7500,7.0600,7.1000,682835
2021-12-30,7.4600,7.9100,7.2500,7.5200,667055
2021-12-29,7.7800,7.9000,7.5200,7.6400,622066
2021-12-28,7.8500,8.2900,7.7900,7.8200,488152
2021-12-27,8.2500,8.3700,7.8000,7.8100,763363
2021-12-23,8.0500,8.5650,7.9000,8.3700,580845
2021-12-22,7.8200,8.2000,7.5600,8.0900,791221
2021-12-21,8.0200,8.2900,7.6787,7.8300,831273
2021-12-20,7.9800,8.2700,7.7500,8.0000,805356
2021-12-17,7.9600,8.4100,7.8000,8.1300,4785801
2021-12-16,8.6100,8.6900,7.8900,7.9600,1031921
2021-12-15,7.9500,8.6800,7.3400,8.6500,1758882
2021-12-14,8.5000,8.5200,7.8367,7.9000,1114675
2021-12-13,8.7100,9.0200,8.2300,8.6000,792034
2021-12-10,9.0800,9.3000,8.7800,8.8500,848621
2021-12-09,9.5700,9.6500,8.8000,8.8200,1583850
2021-12-08,9.9200,10.0710,9.5700,9.7200,1093516
2021-12-07,9.3300,10.2200,9.2500,9.9200,1628171
2021-12-06,8.5800,9.2400,8.1000,8.9200,1206555
2021-12-03,9.8500,9.9100,8.3801,8.5400,1773389
2021-12-02,9.4600,9.8100,9.0900,9.7400,903256
2021-12-01,10.4100,10.4100,9.3400,9.3900,751174
2021-11-30,9.9000,10.4400,9.6000,10.2700,1248072
2021-11-29,10.4600,10.5300,9.8300,9.8700,751004
2021-11-26,10.5000,10.9000,10.1300,10.2200,947807
2021-11-24,10.7700,10.9700,10.2100,10.8800,598881
2021-11-23,10.3900,10.9300,10.3700,10.8300,829756
2021-11-22,10.9200,11.0899,10.3100,10.3400,702277
2021-11-19,10.4600,11.3200,10.4019,10.9800,652471
2021-11-18,11.1700,11.1700,10.3000,10.4800,821978
2021-11-17,11.4300,11.5700,10.9800,11.0500,692524
2021-11-16,11.4700,11.7493,11.3000,11.5300,415858
2021-11-15,12.0600,12.2200,11.4300,11.5300,579062
2021-11-12,12.0000,12.2500,11.7800,12.1900,460647
2021-11-11,11.7600,12.2200,11.7600,11.9200,365399
2021-11-10,12.0000,12.4200,11.6700,11.7400,627483
2021-11-09,12.2900,12.5000,11.9900,12.0800,333610
2021-11-08,12.1300,12.5300,12.1300,12.3800,478751
2021-11-05,12.0000,12.4400,11.8000,12.0300,420574
2021-11-04,12.6800,12.6800,12.1000,12.1600,627003
2021-11-03,12.5000,12.8200,12.2600,12.8200,643484
2021-11-02,11.7200,12.5000,11.6000,12.4500,577089
2021-11-01,11.2700,11.8600,11.2500,11.8200,788026
2021-10-29,11.6800,11.8200,11.1600,11.2000,794308
2021-10-28,10.7300,11.6899,10.7300,11.6700,722834
2021-10-27,11.3500,11.4500,10.7500,10.8000,469174
2021-10-26,11.6100,11.6600,11.2200,11.3600,563183
2021-10-25,11.4100,11.7100,10.9701,11.4400,558886
2021-10-22,11.2600,11.7000,11.1000,11.4200,530960
2021-10-21,11.3000,11.9300,11.2400,11.3900,401615
2021-10-20,11.2200,11.7400,11.0500,11.3300,398152
2021-10-19,10.6000,11.4421,10.3800,11.3700,598677
2021-10-18,10.4000,10.8000,10.3200,10.4200,559470
2021-10-15,10.6000,10.9012,10.3200,10.4000,444031
2021-10-14,10.5600,10.9600,10.4500,10.6300,432148
2021-10-13,10.6100,10.6500,10.1100,10.2900,310499
2021-10-12,10.3100,10.6500,10.2700,10.6200,240457
2021-10-11,10.1400,10.6350,10.0301,10.3700,331952
2021-10-08,10.5400,10.6600,10.0300,10.1300,289912
2021-10-07,10.1700,10.6700,10.0200,10.6200,378222
2021-10-06,10.5400,10.6899,10.0200,10.1000,591180
2021-10-05,10.9700,11.1700,10.5800,10.7100,441153
2021-10-04,11.1200,11.7000,10.8300,10.9200,474873
2021-10-01,11.1600,11.5900,10.5800,11.3900,540651
2021-09-30,11.1200,11.4800,10.8300,10.9900,353666
2021-09-29,11.2900,11.6800,10.8700,11.0400,467252
2021-09-28,12.0400,12.3900,11.3000,11.3300,665044
2021-09-27,12.0000,12.9000,11.8700,12.2300,861989
2021-09-24,12.1100,12.1800,11.7503,11.9500,362884
2021-09-23,12.1000,12.2500,11.8200,12.2400,477755
2021-09-22,11.8000,12.1600,11.6378,11.8400,338026
2021-09-21,11.2000,11.7800,11.1900,11.7400,436315
2021-09-20,11.5600,11.7600,11.1200,11.1500,692873
