symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
GME,Gamestop Corporation - Class A,Equity,United States,09:30,16:00,UTC-04,USD,1.0000
GMED,Globus Medical Inc - Class A,Equity,United States,09:30,16:00,UTC-04,USD,0.8571
GMEI,Gambit Energy Inc,Equity,United States,09:30,16:00,UTC-04,USD,0.8571
GMEFF,Gome Financial Technology Company Ltd,Equity,United States,09:30,16:00,UTC-04,USD,0.7500
GMEFX,GMO Emerging Markets Fund IV,Mutual Fund,United States,09:30,16:00,UTC-04,USD,0.7500
GMELF,GOME Retail Holdings Ltd,Equity,United States,09:30,16:00,UTC-04,USD,0.7500
GMELY,GOME Retail Holdings Ltd,Equity,United States,09:30,16:00,UTC-04,USD,0.7500
GMEMX,GMO EMERGING MARKETS FUND CLASS II,Mutual Fund,United States,09:30,16:00,UTC-04,USD,0.7500
GMEPX,Goldman Sachs China Equity Fund Class P,Mutual Fund,United States,09:30,16:00,UTC-04,USD,0.7500
GME.DEX,Geratherm Medical AG,Equity,XETRA,08:00,20:00,UTC+01,EUR,0.6667
